"","Date","HomeTeam","AwayTeam","HTR","B365H","B365D","B365A","Staked","Gain","Balance"
"9",2012-08-19,"Wigan","Chelsea","A",6,3.75,1.62,10,26.2,26.2
"11",2012-08-22,"Chelsea","Reading","A",1.25,5.5,13,10,0,16.2
"13",2012-08-25,"Chelsea","Newcastle","H",1.5,4.33,6.5,10,25,41.2
"35",2012-09-15,"QPR","Chelsea","D",4.5,3.5,1.83,10,0,31.2
"40",2012-09-22,"Chelsea","Stoke","D",1.36,4.75,9,10,0,21.2
"50",2012-09-29,"Arsenal","Chelsea","D",2.1,3.4,3.5,10,0,11.2
"60",2012-10-06,"Chelsea","Norwich","H",1.22,6.5,12,10,22.2,33.4
"75",2012-10-20,"Tottenham","Chelsea","A",2.5,3.4,2.75,10,37.5,70.9
"86",2012-10-28,"Chelsea","Man United","A",2.4,3.4,2.9,10,0,60.9
"94",2012-11-03,"Swansea","Chelsea","D",4.5,3.6,1.8,10,0,50.9
"107",2012-11-11,"Chelsea","Liverpool","H",1.95,3.5,4,10,29.5,80.4
"117",2012-11-17,"West Brom","Chelsea","D",3.75,3.5,2,10,0,70.4
"126",2012-11-25,"Chelsea","Man City","D",2.5,3.5,2.7,10,0,60.4
"132",2012-11-28,"Chelsea","Fulham","D",1.44,4.5,7,10,0,50.4
"147",2012-12-01,"West Ham","Chelsea","A",4,3.5,1.91,10,29.1,79.5
"153",2012-12-08,"Sunderland","Chelsea","A",4.75,3.5,1.8,10,28,107.5
"178",2012-12-23,"Chelsea","Aston Villa","H",1.33,5.5,8.5,10,23.3,130.8
"184",2012-12-26,"Norwich","Chelsea","A",6,3.75,1.62,10,26.2,157
"197",2012-12-30,"Everton","Chelsea","D",2.88,3.3,2.5,10,0,147
"206",2013-01-02,"Chelsea","QPR","D",1.2,6.5,15,10,0,137
"215",2013-01-12,"Stoke","Chelsea","A",4.33,3.5,1.95,10,29.5,166.5
"219",2013-01-16,"Chelsea","Southampton","H",1.25,6.5,15,10,22.5,189
"227",2013-01-20,"Chelsea","Arsenal","H",1.91,3.6,4,10,29.1,218.1
"240",2013-01-30,"Reading","Chelsea","A",7.5,4.5,1.5,10,25,243.1
"244",2013-02-02,"Newcastle","Chelsea","H",4,3.6,2,10,0,233.1
"251",2013-02-09,"Chelsea","Wigan","H",1.36,5.5,9.5,10,23.6,256.7
"268",2013-02-24,"Man City","Chelsea","D",1.95,3.6,4.33,10,0,246.7
"271",2013-03-02,"Chelsea","West Brom","H",1.4,5,9,10,24,270.7
"293",2013-03-17,"Chelsea","West Ham","H",1.4,5,9,10,24,294.7
"300",2013-03-30,"Southampton","Chelsea","H",3.5,3.5,2.2,10,0,284.7
"311",2013-04-07,"Chelsea","Sunderland","A",1.36,5,11,10,0,274.7
"325",2013-04-17,"Fulham","Chelsea","A",4.75,3.8,1.8,10,28,302.7
"335",2013-04-21,"Liverpool","Chelsea","A",2.15,3.6,3.6,10,46,348.7
"345",2013-04-28,"Chelsea","Swansea","H",1.36,5.5,9,10,23.6,372.3
"356",2013-05-05,"Man United","Chelsea","D",2.2,3.5,3.5,10,0,362.3
"360",2013-05-08,"Chelsea","Tottenham","H",1.95,3.75,4,10,29.5,391.8
"361",2013-05-11,"Aston Villa","Chelsea","H",4.5,3.8,1.85,10,0,381.8
"371",2013-05-19,"Chelsea","Everton","D",1.7,4,5.5,10,0,371.8
